employee_name,department,age,salary,years_experience,performance_score
Employee_1,Engineering,28,38110.0,16.0,2.0
Employee_2,Marketing,29,109309.0,19.0,1.4
Employee_3,Engineering,56,57266.0,11.0,4.6
Employee_4,Marketing,35,82992.0,6.0,4.6
Employee_5,Marketing,38,91373.0,1.0,3.5
Employee_6,Sales,57,36910.0,2.0,2.4
Employee_7,Engineering,25,30206.0,16.0,2.4
Employee_8,Engineering,23,117054.0,4.0,3.9
Employee_9,Engineering,27,117897.0,16.0,4.6
Employee_10,Marketing,25,91373.0,16.0,4.5
Employee_11,Engineering,50,75933.0,16.0,4.1
Employee_12,Engineering,39,80015.0,1.0,3.6
Employee_13,Hr,47,84268.0,1.0,1.3
Employee_14,Marketing,55,117939.0,4.0,1.6
Employee_15,Sales,31,48141.0,0.0,4.6
Employee_16,Engineering,57,110356.0,0.0,3.4
Employee_17,Hr,35,101910.0,18.0,1.0
Employee_18,Hr,52,86044.0,1.0,1.4
Employee_19,Sales,36,75818.5,11.0,3.7
Employee_20,Engineering,39,63827.0,5.0,1.0
Employee_21,Marketing,35,85820.0,3.0,1.6
Employee_22,Sales,44,92623.0,10.0,3.2
Employee_23,Engineering,42,111734.0,16.0,3.8
Employee_24,Sales,37,105450.0,5.0,3.6
Employee_25,Hr,39,52299.0,4.0,1.9
Employee_26,Marketing,45,73585.0,19.0,3.8
Employee_27,Engineering,47,94044.0,1.0,1.9
Employee_28,Sales,46,72557.0,5.0,2.3
Employee_29,Sales,50,79080.0,10.0,4.0
Employee_30,Engineering,36,32693.0,15.0,3.6
Employee_31,Engineering,22,99163.0,15.0,4.4
Employee_32,Sales,46,55939.0,0.0,3.6
Employee_33,Engineering,28,78925.0,8.0,3.3
Employee_34,Engineering,30,72941.0,5.0,1.4
Employee_35,Hr,45,56105.0,15.0,2.5
Employee_36,Hr,22,48047.0,2.0,2.1
Employee_37,Hr,29,56105.0,19.0,2.0
Employee_38,Engineering,45,105766.0,3.0,4.9
Employee_39,Engineering,32,45707.0,18.0,2.6
Employee_40,Engineering,38,51976.0,2.0,4.6
Employee_41,Sales,29,75818.5,18.0,3.5
Employee_42,Engineering,56,53776.0,19.0,4.2
Employee_43,Marketing,56,91373.0,6.0,3.0
Employee_44,Engineering,54,75933.0,19.0,3.3
Employee_45,Marketing,26,91373.0,8.0,3.0
Employee_46,Sales,39,36776.0,0.0,1.8
Employee_47,Sales,28,85016.0,7.0,3.9
Employee_48,Engineering,30,39474.0,6.0,2.1
Employee_49,Sales,39,88053.0,17.0,1.1
Employee_50,Engineering,33,51959.0,7.0,3.6
Employee_51,Hr,55,35530.0,0.0,1.7
Employee_52,Sales,54,33748.0,10.0,4.8
Employee_53,Sales,44,43545.0,17.0,4.8
Employee_54,Sales,45,96199.0,9.0,4.7
Employee_55,Sales,58,64766.0,2.0,2.5
Employee_56,Marketing,39,103530.0,6.0,1.1
Employee_57,Sales,43,91087.0,15.0,4.7
Employee_58,Engineering,39,98840.0,15.0,2.7
Employee_59,Engineering,56,84384.0,19.0,4.9
Employee_60,Engineering,22,81005.0,16.0,4.9
