employee_name,department,age,salary,years_experience,performance_score
Employee_1,ENGINEERING,28.0,38110.0,16.0,2.0
Employee_2,Marketing,29.0,"$109,309",19.0,1.4
Employee_3,Engineering,56.0,"$57,266",11.0,4.6
Employee_4,Marketing,35.0,82992.0,6.0,4.6
Employee_5,Marketing,38.0,,1.0,3.5
Employee_6,sales,57.0,36910.0,2.0,2.4
Employee_7,Engineering,25.0,30206.0,16.0,2.4
Employee_8,Engineering,23.0,117054.0,4.0,3.9
Employee_9,Engineering,27.0,117897.0,16.0,4.6
Employee_10,Marketing,25.0,,16.0,4.5
Employee_11,ENGINEERING,50.0,,16.0,4.1
Employee_12,Engineering,39.0,80015.0,1.0,3.6
Employee_13,HR,47.0,84268.0,1.0,1.3
Employee_14,Marketing,55.0,"$117,939",4.0,1.6
Employee_15,sales,31.0,"$48,141",0.0,4.6
Employee_16,ENGINEERING,57.0,110356.0,0.0,3.4
Employee_17,HR,35.0,101910.0,18.0,1.0
Employee_18,HR,52.0,"$86,044",1.0,1.4
Employee_19,sales,36.0,,11.0,3.7
Employee_20,ENGINEERING,,"$63,827",5.0,1.0
Employee_21,Marketing,35.0,"$85,820",3.0,1.6
Employee_22,Sales,44.0,"$92,623",10.0,3.2
Employee_23,ENGINEERING,42.0,111734.0,16.0,3.8
Employee_24,sales,37.0,105450.0,5.0,3.6
Employee_25,HR,39.0,"$52,299",4.0,1.9
Employee_26,Marketing,45.0,73585.0,19.0,3.8
Employee_27,ENGINEERING,47.0,"$94,044",1.0,1.9
Employee_28,Sales,46.0,"$72,557",5.0,2.3
Employee_29,Sales,50.0,"$79,080",10.0,4.0
Employee_30,Engineering,36.0,32693.0,15.0,3.6
Employee_31,Engineering,22.0,"$99,163",15.0,4.4
Employee_32,sales,46.0,55939.0,0.0,3.6
Employee_33,ENGINEERING,28.0,"$78,925",8.0,3.3
Employee_34,ENGINEERING,30.0,"$72,941",5.0,1.4
Employee_35,HR,45.0,,15.0,2.5
Employee_36,HR,22.0,48047.0,2.0,2.1
Employee_37,HR,29.0,"$56,105",19.0,2.0
Employee_38,Engineering,45.0,"$105,766",3.0,4.9
Employee_39,ENGINEERING,32.0,45707.0,18.0,2.6
Employee_40,ENGINEERING,38.0,51976.0,2.0,4.6
Employee_41,Sales,29.0,,18.0,3.5
Employee_42,Engineering,56.0,53776.0,19.0,4.2
Employee_43,Marketing,56.0,,6.0,3.0
Employee_44,Engineering,54.0,,19.0,3.3
Employee_45,Marketing,26.0,91373.0,8.0,3.0
Employee_46,Sales,,36776.0,0.0,1.8
Employee_47,sales,28.0,"$85,016",7.0,3.9
Employee_48,ENGINEERING,30.0,39474.0,6.0,2.1
Employee_49,Sales,,88053.0,17.0,1.1
Employee_50,ENGINEERING,33.0,"$51,959",7.0,3.6
Employee_51,HR,55.0,35530.0,0.0,1.7
Employee_52,sales,54.0,"$33,748",10.0,4.8
Employee_53,sales,44.0,43545.0,17.0,4.8
Employee_54,Sales,45.0,96199.0,9.0,4.7
Employee_55,sales,58.0,"$64,766",2.0,2.5
Employee_56,Marketing,,"$103,530",6.0,1.1
Employee_57,sales,43.0,"$91,087",15.0,4.7
Employee_58,ENGINEERING,,"$98,840",15.0,2.7
Employee_59,ENGINEERING,56.0,"$84,384",19.0,4.9
Employee_60,ENGINEERING,22.0,81005.0,16.0,4.9
Employee_40,ENGINEERING,38.0,51976.0,2.0,4.6
Employee_42,Engineering,56.0,"$53,776",19.0,4.2
Employee_3,Engineering,56.0,"$57,266",11.0,4.6
Employee_49,Sales,,"$88,053",17.0,1.1
